"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
"Department of Astronomy and Astrophysics, University of Toronto, 50 St. George Street, Toronto, ON M5S 3H4, Canada",43.6607391,-79.3972921
"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
"Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, I-50125 Firenze, Italy",43.7505556,11.2544444
"Large Binocular Telescope Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.2331503,-110.9487605
"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
"School of Physics and Astronomy, University of Minnesota, 116 Church St. SE, Minneapolis, MN 55455, USA",44.975288,-93.234454
"College of Optical Sciences, University of Arizona, 1630 E. University Blvd., Tucson, AZ 85721, USA",32.2314654,-110.9472134
"Harvard-Smithsonian Center for Astrophysics, Harvard University, 60 Garden St., Cambridge, MA 02138, USA",42.3814605,-71.1281638
"Department of Astronomy, University of Virginia, Charlottesville, VA 22904, USA",38.0356399,-78.5151042
"Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, I-50125 Firenze, Italy",43.7505556,11.2544444
"Osservatorio Astrofisico di Arcetri, Largo Enrico Fermi 5, I-50125 Firenze, Italy",43.7505556,11.2544444
"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
"Harvard-Smithsonian Center for Astrophysics, Harvard University, 60 Garden St., Cambridge, MA 02138, USA",42.3814605,-71.1281638
"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
"Department of Astronomy, University of Virginia, Charlottesville, VA 22904, USA",38.0356399,-78.5151042
"Steward Observatory, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA",32.233175,-110.94894
